Date,Symbol,Spot,Contract,Price,Premium,Size,Bid/Ask,Volume
"10/15/24, 01:28:44 am",AAPL,$231.42,235C 01/16/26,$28.75,"$77,625",27,$28.60 - $28.75,531
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$115,910",67,$17.30 - $17.70,2.516K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$88,230",51,$17.30 - $17.70,2.436K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$38,060",22,$17.30 - $17.70,2.383K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$31,140",18,$17.30 - $17.70,2.313K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$34,600",20,$17.30 - $17.70,1.908K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$36,330",21,$17.30 - $17.70,2.218K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$38,060",22,$17.30 - $17.70,2.189K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$38,060",22,$17.30 - $17.70,2.295K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$48,440",28,$17.30 - $17.70,2.167K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$50,170",29,$17.30 - $17.70,2.119K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$58,854",34,$17.30 - $17.70,1.888K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$74,390",43,$17.30 - $17.70,2.261K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$313,130",181,$17.30 - $17.70,2.089K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$25,950",15,$17.30 - $17.70,1.382K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$31,140",18,$17.30 - $17.70,1.492K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$31,140",18,$17.30 - $17.70,1.637K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$36,330",21,$17.30 - $17.70,1.367K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$44,980",26,$17.30 - $17.70,1.346K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$50,170",29,$17.30 - $17.70,1.619K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$55,360",32,$17.30 - $17.70,1.854K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$57,090",33,$17.30 - $17.70,1.717K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$58,820",34,$17.30 - $17.70,1.59K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$58,820",34,$17.30 - $17.70,1.684K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$110,720",64,$17.30 - $17.70,1.556K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$126,290",73,$17.30 - $17.70,1.474K
"10/15/24, 01:28:41 am",PDD,$135.91,135P 06/20/25,$17.30,"$160,890",93,$17.30 - $17.70,1.814K
"10/15/24, 01:28:39 am",RIVN,$10.32,11C 06/20/25,$2.37,"$26,781",113,$2.34 - $2.37,1.646K
"10/15/24, 01:28:27 am",ABBV,$195.99,190C 06/20/25,$17.98,"$41,354",23,$17.80 - $18.45,36
"10/15/24, 01:28:27 am",NVDA,$137.99,150C 04/17/25,$16.73,"$33,460",20,$16.64 - $16.80,271
"10/15/24, 01:28:26 am",SAVA,$27.41,40C 06/20/25,$12.60,"$59,220",47,$11.70 - $12.90,60
"10/15/24, 01:28:15 am",NVDA,$138,125C 04/17/25,$28.35,"$34,020",12,$28.30 - $28.45,138
"10/15/24, 01:28:15 am",NVDA,$138,125C 04/17/25,$28.35,"$45,360",16,$28.30 - $28.45,114
"10/15/24, 01:28:10 am",TTD,$118.04,140P 06/20/25,$28.50,"$28,500",10,$28.30 - $29.20,43
"10/15/24, 01:28:07 am",NVDA,$138.02,155C 04/17/25,$14.99,"$59,960",40,$14.95 - $15.05,365
"10/15/24, 01:28:07 am",NVDA,$138.02,155C 04/17/25,$14.99,"$59,960",40,$14.95 - $15.05,405
"10/15/24, 01:28:07 am",NVDA,$138.02,145C 04/17/25,$18.69,"$74,760",40,$18.60 - $18.75,465
"10/15/24, 01:28:07 am",NVDA,$138.02,145C 04/17/25,$18.69,"$74,760",40,$18.60 - $18.75,505
"10/15/24, 01:28:07 am",NVDA,$138.02,155C 04/17/25,$15,"$30,000",20,$14.95 - $15.05,325
"10/15/24, 01:28:07 am",NVDA,$138.02,145C 04/17/25,$18.70,"$37,400",20,$18.60 - $18.75,425
"10/15/24, 01:28:01 am",IWM,$222.97,220C 12/19/25,$26.09,"$130,450",50,$26.09 - $26.27,56
"10/15/24, 01:27:59 am",SOFI,$10.01,7C 01/15/27,$5.09,"$49,980",98,$5.09 - $5.20,785
"10/15/24, 01:27:48 am",NVDA,$138.10,120C 01/16/26,$42.75,"$29,925",7,$42.60 - $42.85,217
"10/15/24, 01:27:45 am",AMZN,$187.56,155P 01/15/27,$14.30,"$34,320",24,$14.15 - $14.45,25
"10/15/24, 01:27:35 am",ABBV,$195.92,170C 01/16/26,$35.27,"$102,283",29,$35.20 - $35.85,76
"10/15/24, 01:27:35 am",ABBV,$195.92,170C 01/16/26,$35.28,"$130,536",37,$35.20 - $35.85,113
"10/15/24, 01:27:29 am",CVS,$67.50,50P 01/15/27,$4.20,"$25,200",60,$4 - $4.30,60
"10/15/24, 01:27:25 am",ABBV,$195.97,170C 01/16/26,$35.68,"$82,064",23,$35.20 - $36.20,47
"10/15/24, 01:27:25 am",ABBV,$195.97,170C 01/16/26,$35.68,"$82,064",23,$35.20 - $36.20,24
"10/15/24, 01:27:09 am",NVDA,$138.16,113P 01/16/26,$14.90,"$25,330",17,$14.90 - $15,198
"10/15/24, 01:27:06 am",AVGO,$182.36,210C 01/16/26,$23.30,"$62,910",27,$23.20 - $23.55,1.569K
"10/15/24, 01:27:04 am",NVDA,$138.22,175C 06/20/25,$12.98,"$64,900",50,$12.90 - $13,303
"10/15/24, 01:27:01 am",CELH,$34.84,30C 01/16/26,$13.60,"$136,000",100,$13.40 - $13.80,122
"10/15/24, 01:26:56 am",CVX,$151.78,125C 12/19/25,$30.95,"$34,045",11,$30.95 - $31.25,36
"10/15/24, 01:26:49 am",MSFT,$419.75,450C 06/20/25,$25.55,"$38,325",15,$25.30 - $25.65,265
"10/15/24, 01:26:49 am",MSFT,$419.75,450C 06/20/25,$25.55,"$38,325",15,$25.30 - $25.65,280
"10/15/24, 01:26:49 am",MSFT,$419.75,450C 06/20/25,$25.55,"$51,100",20,$25.30 - $25.65,250
"10/15/24, 01:26:49 am",ROKU,$76.72,75P 06/20/25,$11.31,"$28,275",25,$11.20 - $11.50,25
"10/15/24, 01:26:21 am",PLTR,$43.46,60C 09/19/25,$4.80,"$25,920",54,$4.75 - $4.84,221
"10/15/24, 01:26:15 am",SPY,$584.60,635C 06/18/26,$38.59,"$38,590",10,$38.59 - $38.79,10
"10/15/24, 01:26:08 am",TSLA,$219.54,250C 06/20/25,$29,"$29,000",10,$29 - $29.10,225
"10/15/24, 01:26:03 am",TMUS,$215.75,230C 06/20/25,$12.52,"$36,308",29,$11.95 - $13.10,31
"10/15/24, 01:26:03 am",TMUS,$215.75,240C 01/16/26,$15.57,"$45,153",29,$15 - $16.14,29
"10/15/24, 01:26:00 am",NVDA,$138.34,140C 01/15/27,$45.40,"$45,400",10,$45.40 - $45.65,356
"10/15/24, 01:25:55 am",UPS,$134.49,100P 01/16/26,$4.09,"$61,500",150,$3.75 - $4.15,150
"10/15/24, 01:25:48 am",GOOGL,$165.01,340C 12/18/26,$3.06,"$25,092",82,$2.81 - $3.10,398
"10/15/24, 01:25:48 am",GOOGL,$165.01,300C 12/18/26,$4.80,"$39,442",82,$4.55 - $5.05,232
"10/15/24, 01:25:32 am",QCOM,$177.84,200C 08/15/25,$17.60,"$26,400",15,$17.60 - $17.89,15
"10/15/24, 01:25:28 am",PLTR,$43.49,40P 01/16/26,$7.45,"$74,500",100,$7.30 - $7.45,135
